Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,2017-07-11 07:06:21,false,"Glenview Running","5.05","521","41:06","--","--","0.0","167","228","8:09","4:44","52","55","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-07-09 09:47:33,false,"Glenview Running","10.01","1,067","1:23:03","--","--","0.0","166","175","8:18","4:47","65","65","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-07-08 11:43:40,false,"Glenview Running","4.90","509","39:52","--","--","0.0","167","195","8:09","5:43","33","20","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-29 08:00:39,false,"Glenview Running","3.97","396","31:20","--","--","0.0","170","202","7:54","4:56","20","13","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-27 07:30:51,false,"Golf Running","6.47","690","50:17","--","--","0.0","168","187","7:46","6:29","39","29","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
street_running,2017-06-24 08:00:47,false,"PNC Bears 5k","3.11","327","21:05","--","--","0.0","179","190","6:47","5:27","36","38","1.32","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-14 07:18:11,false,"Glenview Running","4.58","448","41:16","--","--","0.0","156","228","9:01","4:55","37","37","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-13 07:20:52,false,"Glenview Running","4.28","456","34:08","--","--","0.0","166","179","7:58","6:28","43","37","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-08 18:33:47,false,"Glenview Running","3.10","325","21:41","--","--","0.0","178","191","6:59","5:00","3","10","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
street_running,2017-06-04 07:00:19,false,"North Shore Classic 5k","3.11","325","21:20","--","--","0.0","179","187","7:04","4:17","138","141","1.27","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-06-03 11:45:05,false,"Glenview Running","3.91","655","34:02","--","--","0.0","157","189","8:43","1:28","7","10","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-05-29 12:25:21,false,"Des Plaines Running","12.10","1,277","1:40:32","--","--","0.0","167","244","8:18","6:28","32","29","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-05-23 17:28:07,false,"Atlanta Running","6.03","642","49:52","--","--","0.0","160","176","8:17","6:28","341","350","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-05-21 11:29:00,false,"Des Plaines Running","11.01","1,165","1:31:31","--","--","0.0","167","245","8:19","6:02","27","34","1.16","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-05-14 11:59:15,false,"Des Plaines Running","10.01","948","1:23:44","165","177","0.0","163","182","8:22","6:48","23","13","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-05-06 08:30:28,false,"Chicago Running","5.00","550","37:05","--","--","0.0","155","182","8:20","5:30","21","23","0.00","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-04-25 07:19:52,false,"Glenview Running","1.39","142","14:27","--","--","0.0","128","204","10:22","4:57","--","--","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-04-23 08:00:18,false,"Ravenswood 5k","3.11","330","21:39","--","--","0.0","176","188","6:53","5:46","--","3","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-04-21 07:23:44,false,"Glenview Running","4.52","485","35:10","--","--","0.0","170","182","7:46","5:35","19","19","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
